antigenicity_score,antigen_prediction
1.1426,Probable Antigen
0.7171,Probable Antigen
-0.5562,Probable Non-Antigen
0.5972,Probable Antigen
0.397,Probable Non-Antigen
0.585,Probable Antigen
0.5154,Probable Antigen
-0.3727,Probable Non-Antigen
0.0471,Probable Non-Antigen
-0.5716,Probable Non-Antigen
-0.8423,Probable Non-Antigen
0.3333,Probable Non-Antigen
0.5893,Probable Antigen
0.1196,Probable Non-Antigen
0.3693,Probable Non-Antigen
0.329,Probable Non-Antigen
0.0983,Probable Non-Antigen
0.7468,Probable Antigen
0.5266,Probable Antigen
0.3153,Probable Non-Antigen
0.7014,Probable Antigen
-0.4206,Probable Non-Antigen
-0.3602,Probable Non-Antigen
0.6108,Probable Antigen
0.4317,Probable Non-Antigen
0.7566,Probable Antigen
-0.2915,Probable Non-Antigen
0.8684,Probable Antigen
0.458,Probable Non-Antigen
0.227,Probable Non-Antigen
-0.0409,Probable Non-Antigen
-0.0554,Probable Non-Antigen
-0.0293,Probable Non-Antigen
-1.6547,Probable Non-Antigen
0.4761,Probable Non-Antigen
-0.3891,Probable Non-Antigen
-0.2791,Probable Non-Antigen
0.9149,Probable Antigen
0.3162,Probable Non-Antigen
-0.0882,Probable Non-Antigen
0.44,Probable Non-Antigen
0.5954,Probable Antigen
0.1804,Probable Non-Antigen
-0.6268,Probable Non-Antigen
0.1817,Probable Non-Antigen
0.9162,Probable Antigen
1.6354,Probable Antigen
1.6296,Probable Antigen
0.7585,Probable Antigen
0.1788,Probable Non-Antigen
1.1852,Probable Antigen
0.2664,Probable Non-Antigen
0.441,Probable Non-Antigen
0.1285,Probable Non-Antigen
0.5136,Probable Antigen
0.0359,Probable Non-Antigen
-0.5032,Probable Non-Antigen
0.6287,Probable Antigen
1.3841,Probable Antigen
-0.0743,Probable Non-Antigen
0.9306,Probable Antigen
0.3881,Probable Non-Antigen
-0.0047,Probable Non-Antigen
1.4104,Probable Antigen
0.2897,Probable Non-Antigen
-0.2495,Probable Non-Antigen
0.492,Probable Non-Antigen
0.4733,Probable Non-Antigen
0.4195,Probable Non-Antigen
0.4344,Probable Non-Antigen
1.3875,Probable Antigen
0.5385,Probable Antigen
0.1121,Probable Non-Antigen
0.5587,Probable Antigen
-0.1191,Probable Non-Antigen
0.7997,Probable Antigen
0.4817,Probable Non-Antigen
0.4552,Probable Non-Antigen
0.5736,Probable Antigen
0.254,Probable Non-Antigen
0.2615,Probable Non-Antigen
0.533,Probable Antigen
-0.2192,Probable Non-Antigen
0.4501,Probable Non-Antigen
1.0767,Probable Antigen
0.3106,Probable Non-Antigen
-1.0203,Probable Non-Antigen
0.0079,Probable Non-Antigen
1.1874,Probable Antigen
0.7571,Probable Antigen
0.7657,Probable Antigen
0.745,Probable Antigen
-0.3952,Probable Non-Antigen
1.0623,Probable Antigen
0.3716,Probable Non-Antigen
0.9795,Probable Antigen
0.5933,Probable Antigen
0.8238,Probable Antigen
-0.5598,Probable Non-Antigen
0.615,Probable Antigen
-0.1957,Probable Non-Antigen
0.1566,Probable Non-Antigen
0.5158,Probable Antigen
0.5803,Probable Antigen
0.179,Probable Non-Antigen
0.1795,Probable Non-Antigen
0.1896,Probable Non-Antigen
0.8188,Probable Antigen
0.3693,Probable Non-Antigen
-0.0605,Probable Non-Antigen
-0.1931,Probable Non-Antigen
-0.4538,Probable Non-Antigen
1.068,Probable Antigen
1.1419,Probable Antigen
0.048,Probable Non-Antigen
0.0231,Probable Non-Antigen
1.2832,Probable Antigen
0.2498,Probable Non-Antigen
-0.3497,Probable Non-Antigen
0.567,Probable Antigen
0.7197,Probable Antigen
1.159,Probable Antigen
-0.0753,Probable Non-Antigen
0.755,Probable Antigen
0.251,Probable Non-Antigen
1.0248,Probable Antigen
0.6855,Probable Antigen
0.417,Probable Non-Antigen
0.7397,Probable Antigen
0.5665,Probable Antigen
0.5341,Probable Antigen
0.427,Probable Non-Antigen
-0.259,Probable Non-Antigen
-0.3443,Probable Non-Antigen
1.2918,Probable Antigen
0.6827,Probable Antigen
-0.5457,Probable Non-Antigen
-0.3326,Probable Non-Antigen
1.0957,Probable Antigen
-0.5344,Probable Non-Antigen
0.2171,Probable Non-Antigen
1.0281,Probable Antigen
0.363,Probable Non-Antigen
0.2746,Probable Non-Antigen
0.733,Probable Antigen
0.6603,Probable Antigen
0.6575,Probable Antigen
0.8458,Probable Antigen
0.1269,Probable Non-Antigen
0.6709,Probable Antigen
0.5343,Probable Antigen
0.3763,Probable Non-Antigen
1.2123,Probable Antigen
0.7327,Probable Antigen
1.2302,Probable Antigen
2.2601,Probable Antigen
0.4281,Probable Non-Antigen
0.3846,Probable Non-Antigen
0.0765,Probable Non-Antigen
0.6827,Probable Antigen
0.182,Probable Non-Antigen
-0.2167,Probable Non-Antigen
-0.1146,Probable Non-Antigen
0.0999,Probable Non-Antigen
0.352,Probable Non-Antigen
-1.0437,Probable Non-Antigen
0.816,Probable Antigen
0.3717,Probable Non-Antigen
0.0174,Probable Non-Antigen
0.5587,Probable Antigen
-0.1668,Probable Non-Antigen
-0.0107,Probable Non-Antigen
0.1935,Probable Non-Antigen
0.3129,Probable Non-Antigen
0.0334,Probable Non-Antigen
0.5595,Probable Antigen
0.6409,Probable Antigen
-0.1565,Probable Non-Antigen
1.0654,Probable Antigen
0.3864,Probable Non-Antigen
1.1164,Probable Antigen
0.7576,Probable Antigen
1.0275,Probable Antigen
0.9134,Probable Antigen
0.5227,Probable Antigen
0.7633,Probable Antigen
0.734,Probable Antigen
-0.2788,Probable Non-Antigen
0.8602,Probable Antigen
0.4591,Probable Non-Antigen
-0.7223,Probable Non-Antigen
0.3005,Probable Non-Antigen
0.5939,Probable Antigen
0.2311,Probable Non-Antigen
1.2318,Probable Antigen
0.7171,Probable Antigen
-0.2539,Probable Non-Antigen
0.5402,Probable Antigen
0.8208,Probable Antigen
0.2549,Probable Non-Antigen
-0.2699,Probable Non-Antigen
1.3016,Probable Antigen
0.1452,Probable Non-Antigen
0.5489,Probable Antigen
1.7142,Probable Antigen
0.4811,Probable Non-Antigen
0.4287,Probable Non-Antigen
0.9395,Probable Antigen
