antigenicity_score,antigen_prediction
0.0619,Probable Non-Antigen
0.0077,Probable Non-Antigen
0.6474,Probable Antigen
0.9187,Probable Antigen
0.2426,Probable Non-Antigen
0.0634,Probable Non-Antigen
0.5974,Probable Antigen
0.1043,Probable Non-Antigen
0.469,Probable Non-Antigen
0.531,Probable Antigen
0.6053,Probable Antigen
-0.3584,Probable Non-Antigen
0.9933,Probable Antigen
1.2513,Probable Antigen
0.1087,Probable Non-Antigen
0.2699,Probable Non-Antigen
0.675,Probable Antigen
0.8128,Probable Antigen
0.5691,Probable Antigen
0.3731,Probable Non-Antigen
1.5023,Probable Antigen
0.8907,Probable Antigen
0.702,Probable Antigen
0.4133,Probable Non-Antigen
0.1974,Probable Non-Antigen
0.6009,Probable Antigen
0.6646,Probable Antigen
0.7566,Probable Antigen
-0.0709,Probable Non-Antigen
-0.0016,Probable Non-Antigen
-0.4459,Probable Non-Antigen
0.3502,Probable Non-Antigen
0.4157,Probable Non-Antigen
0.5318,Probable Antigen
0.407,Probable Non-Antigen
0.886,Probable Antigen
0.2805,Probable Non-Antigen
0.5959,Probable Antigen
0.1815,Probable Non-Antigen
0.2438,Probable Non-Antigen
-0.0751,Probable Non-Antigen
0.7878,Probable Antigen
0.4315,Probable Non-Antigen
0.4782,Probable Non-Antigen
1.4824,Probable Antigen
0.41,Probable Non-Antigen
0.3851,Probable Non-Antigen
0.5674,Probable Antigen
0.9251,Probable Antigen
0.465,Probable Non-Antigen
0.0786,Probable Non-Antigen
-0.1901,Probable Non-Antigen
0.1129,Probable Non-Antigen
0.1908,Probable Non-Antigen
0.5517,Probable Antigen
-0.0786,Probable Non-Antigen
0.5689,Probable Antigen
0.471,Probable Non-Antigen
0.1866,Probable Non-Antigen
0.2532,Probable Non-Antigen
0.8163,Probable Antigen
0.3435,Probable Non-Antigen
0.6835,Probable Antigen
0.5536,Probable Antigen
0.9019,Probable Antigen
1.562,Probable Antigen
0.3187,Probable Non-Antigen
0.524,Probable Antigen
0.3614,Probable Non-Antigen
-0.3896,Probable Non-Antigen
0.7333,Probable Antigen
0.108,Probable Non-Antigen
0.5408,Probable Antigen
1.1152,Probable Antigen
1.4762,Probable Antigen
0.4633,Probable Non-Antigen
0.5174,Probable Antigen
0.6452,Probable Antigen
0.5156,Probable Antigen
0.5782,Probable Antigen
0.335,Probable Non-Antigen
0.7525,Probable Antigen
0.6261,Probable Antigen
0.3354,Probable Non-Antigen
0.0429,Probable Non-Antigen
0.4096,Probable Non-Antigen
0.169,Probable Non-Antigen
1.0064,Probable Antigen
0.0783,Probable Non-Antigen
0.5475,Probable Antigen
-0.1455,Probable Non-Antigen
-0.2226,Probable Non-Antigen
0.1995,Probable Non-Antigen
0.5365,Probable Antigen
0.8489,Probable Antigen
-0.197,Probable Non-Antigen
0.4614,Probable Non-Antigen
0.3273,Probable Non-Antigen
0.823,Probable Antigen
0.1397,Probable Non-Antigen
0.7015,Probable Antigen
0.1056,Probable Non-Antigen
1.8364,Probable Antigen
0.5577,Probable Antigen
0.1243,Probable Non-Antigen
1.0292,Probable Antigen
0.3218,Probable Non-Antigen
-0.3175,Probable Non-Antigen
0.5729,Probable Antigen
0.1154,Probable Non-Antigen
0.3043,Probable Non-Antigen
0.3968,Probable Non-Antigen
0.2024,Probable Non-Antigen
0.4264,Probable Non-Antigen
0.2591,Probable Non-Antigen
-0.1607,Probable Non-Antigen
0.38,Probable Non-Antigen
0.3729,Probable Non-Antigen
0.2993,Probable Non-Antigen
0.4919,Probable Non-Antigen
0.599,Probable Antigen
0.4136,Probable Non-Antigen
0.5814,Probable Antigen
0.856,Probable Antigen
0.3414,Probable Non-Antigen
-0.3003,Probable Non-Antigen
0.7817,Probable Antigen
1.5294,Probable Antigen
0.3583,Probable Non-Antigen
0.4156,Probable Non-Antigen
1.0489,Probable Antigen
0.3238,Probable Non-Antigen
0.4053,Probable Non-Antigen
0.8668,Probable Antigen
0.6607,Probable Antigen
0.0683,Probable Non-Antigen
0.5719,Probable Antigen
0.451,Probable Non-Antigen
0.9933,Probable Antigen
0.0985,Probable Non-Antigen
0.2926,Probable Non-Antigen
0.9452,Probable Antigen
0.0674,Probable Non-Antigen
0.07,Probable Non-Antigen
0.4973,Probable Non-Antigen
-0.1978,Probable Non-Antigen
1.125,Probable Antigen
1.3673,Probable Antigen
0.7476,Probable Antigen
0.1817,Probable Non-Antigen
0.0778,Probable Non-Antigen
0.7099,Probable Antigen
1.0823,Probable Antigen
0.1943,Probable Non-Antigen
-0.2435,Probable Non-Antigen
0.3713,Probable Non-Antigen
0.8304,Probable Antigen
0.7203,Probable Antigen
0.6984,Probable Antigen
0.4034,Probable Non-Antigen
1.4241,Probable Antigen
0.1036,Probable Non-Antigen
0.2408,Probable Non-Antigen
0.3969,Probable Non-Antigen
0.6086,Probable Antigen
0.7249,Probable Antigen
0.3657,Probable Non-Antigen
-0.3472,Probable Non-Antigen
-0.0735,Probable Non-Antigen
0.8056,Probable Antigen
0.4926,Probable Non-Antigen
0.0483,Probable Non-Antigen
0.6458,Probable Antigen
-0.412,Probable Non-Antigen
0.9516,Probable Antigen
1.2733,Probable Antigen
0.6571,Probable Antigen
0.5546,Probable Antigen
0.8724,Probable Antigen
0.112,Probable Non-Antigen
0.3192,Probable Non-Antigen
1.1081,Probable Antigen
0.3683,Probable Non-Antigen
0.8847,Probable Antigen
0.0249,Probable Non-Antigen
0.7066,Probable Antigen
0.0948,Probable Non-Antigen
0.4268,Probable Non-Antigen
0.8781,Probable Antigen
-0.0321,Probable Non-Antigen
0.873,Probable Antigen
0.9173,Probable Antigen
1.152,Probable Antigen
0.9442,Probable Antigen
0.7476,Probable Antigen
-0.5822,Probable Non-Antigen
0.4961,Probable Non-Antigen
0.5835,Probable Antigen
-0.1649,Probable Non-Antigen
0.472,Probable Non-Antigen
-0.1444,Probable Non-Antigen
1.4367,Probable Antigen
0.7926,Probable Antigen
1.3787,Probable Antigen
0.7117,Probable Antigen
0.5853,Probable Antigen
0.586,Probable Antigen
0.6656,Probable Antigen
0.234,Probable Non-Antigen
0.0903,Probable Non-Antigen
0.2216,Probable Non-Antigen
0.9138,Probable Antigen
0.2498,Probable Non-Antigen
-0.0258,Probable Non-Antigen
0.4731,Probable Non-Antigen
0.6622,Probable Antigen
0.987,Probable Antigen
1.072,Probable Antigen
1.0779,Probable Antigen
0.279,Probable Non-Antigen
1.1011,Probable Antigen
0.2994,Probable Non-Antigen
0.6085,Probable Antigen
0.8365,Probable Antigen
0.1864,Probable Non-Antigen
0.6555,Probable Antigen
0.0385,Probable Non-Antigen
0.685,Probable Antigen
0.7057,Probable Antigen
0.1133,Probable Non-Antigen
0.7356,Probable Antigen
0.6031,Probable Antigen
0.1853,Probable Non-Antigen
0.5162,Probable Antigen
0.1091,Probable Non-Antigen
1.1892,Probable Antigen
0.9832,Probable Antigen
0.3516,Probable Non-Antigen
0.3299,Probable Non-Antigen
0.6523,Probable Antigen
-0.0341,Probable Non-Antigen
