antigenicity_score,antigen_prediction
-0.3371,Probable Non-Antigen
0.2949,Probable Non-Antigen
-0.171,Probable Non-Antigen
0.7599,Probable Antigen
0.208,Probable Non-Antigen
0.7792,Probable Antigen
0.5583,Probable Antigen
0.1626,Probable Non-Antigen
0.4924,Probable Non-Antigen
0.4195,Probable Non-Antigen
0.0223,Probable Non-Antigen
0.609,Probable Antigen
0.9823,Probable Antigen
-0.064,Probable Non-Antigen
0.2264,Probable Non-Antigen
0.0441,Probable Non-Antigen
0.9772,Probable Antigen
0.7857,Probable Antigen
0.4597,Probable Non-Antigen
0.6318,Probable Antigen
1.1384,Probable Antigen
0.2313,Probable Non-Antigen
0.4927,Probable Non-Antigen
0.4173,Probable Non-Antigen
0.8838,Probable Antigen
0.4658,Probable Non-Antigen
0.3815,Probable Non-Antigen
0.431,Probable Non-Antigen
0.8466,Probable Antigen
0.0088,Probable Non-Antigen
0.0679,Probable Non-Antigen
0.9178,Probable Antigen
0.1857,Probable Non-Antigen
0.1834,Probable Non-Antigen
0.351,Probable Non-Antigen
0.1446,Probable Non-Antigen
0.37,Probable Non-Antigen
-0.9873,Probable Non-Antigen
0.328,Probable Non-Antigen
0.2383,Probable Non-Antigen
0.3112,Probable Non-Antigen
0.699,Probable Antigen
0.2532,Probable Non-Antigen
0.4549,Probable Non-Antigen
0.1896,Probable Non-Antigen
0.3789,Probable Non-Antigen
0.0709,Probable Non-Antigen
0.4916,Probable Non-Antigen
0.0733,Probable Non-Antigen
0.632,Probable Antigen
0.81,Probable Antigen
0.2969,Probable Non-Antigen
0.197,Probable Non-Antigen
0.3371,Probable Non-Antigen
0.8025,Probable Antigen
0.8689,Probable Antigen
-0.1261,Probable Non-Antigen
0.3581,Probable Non-Antigen
0.2665,Probable Non-Antigen
0.2086,Probable Non-Antigen
1.2899,Probable Antigen
0.129,Probable Non-Antigen
0.4778,Probable Non-Antigen
0.3191,Probable Non-Antigen
-0.0942,Probable Non-Antigen
1.2009,Probable Antigen
-0.2518,Probable Non-Antigen
0.5305,Probable Antigen
0.5155,Probable Antigen
-0.043,Probable Non-Antigen
1.0714,Probable Antigen
0.1376,Probable Non-Antigen
0.0922,Probable Non-Antigen
1.1591,Probable Antigen
0.2254,Probable Non-Antigen
0.5411,Probable Antigen
0.2504,Probable Non-Antigen
0.3032,Probable Non-Antigen
1.4384,Probable Antigen
0.7115,Probable Antigen
-0.1335,Probable Non-Antigen
1.0275,Probable Antigen
0.1801,Probable Non-Antigen
0.5526,Probable Antigen
0.5644,Probable Antigen
-0.5334,Probable Non-Antigen
-0.281,Probable Non-Antigen
0.4643,Probable Non-Antigen
-0.1738,Probable Non-Antigen
1.0244,Probable Antigen
0.302,Probable Non-Antigen
0.3336,Probable Non-Antigen
0.1437,Probable Non-Antigen
0.2069,Probable Non-Antigen
0.6857,Probable Antigen
0.0476,Probable Non-Antigen
0.5224,Probable Antigen
0.5076,Probable Antigen
0.2504,Probable Non-Antigen
0.29,Probable Non-Antigen
0.2029,Probable Non-Antigen
0.1847,Probable Non-Antigen
0.8884,Probable Antigen
-0.1776,Probable Non-Antigen
0.6479,Probable Antigen
0.6956,Probable Antigen
-0.0543,Probable Non-Antigen
1.4599,Probable Antigen
0.0783,Probable Non-Antigen
0.8749,Probable Antigen
0.9603,Probable Antigen
0.1149,Probable Non-Antigen
0.4839,Probable Non-Antigen
0.434,Probable Non-Antigen
0.6429,Probable Antigen
0.8163,Probable Antigen
0.9245,Probable Antigen
0.1436,Probable Non-Antigen
0.5407,Probable Antigen
0.1941,Probable Non-Antigen
0.8838,Probable Antigen
0.6991,Probable Antigen
0.3283,Probable Non-Antigen
0.1269,Probable Non-Antigen
0.267,Probable Non-Antigen
0.6958,Probable Antigen
0.2997,Probable Non-Antigen
0.7491,Probable Antigen
-0.3339,Probable Non-Antigen
0.5377,Probable Antigen
0.6835,Probable Antigen
0.0205,Probable Non-Antigen
-0.1475,Probable Non-Antigen
0.6531,Probable Antigen
0.6404,Probable Antigen
0.1219,Probable Non-Antigen
0.4173,Probable Non-Antigen
1.0404,Probable Antigen
0.3566,Probable Non-Antigen
0.6281,Probable Antigen
-0.0144,Probable Non-Antigen
1.4147,Probable Antigen
0.8043,Probable Antigen
0.7299,Probable Antigen
0.0318,Probable Non-Antigen
-0.1518,Probable Non-Antigen
0.376,Probable Non-Antigen
0.5216,Probable Antigen
0.6175,Probable Antigen
-0.1515,Probable Non-Antigen
0.3129,Probable Non-Antigen
0.2957,Probable Non-Antigen
1.0674,Probable Antigen
0.196,Probable Non-Antigen
-0.2189,Probable Non-Antigen
0.2685,Probable Non-Antigen
0.3326,Probable Non-Antigen
0.2514,Probable Non-Antigen
0.5814,Probable Antigen
0.6569,Probable Antigen
0.5719,Probable Antigen
0.3727,Probable Non-Antigen
0.236,Probable Non-Antigen
-0.0945,Probable Non-Antigen
0.4465,Probable Non-Antigen
0.2357,Probable Non-Antigen
0.5192,Probable Antigen
0.0476,Probable Non-Antigen
-0.1597,Probable Non-Antigen
0.6118,Probable Antigen
0.342,Probable Non-Antigen
-0.1602,Probable Non-Antigen
-0.1076,Probable Non-Antigen
0.1606,Probable Non-Antigen
0.2703,Probable Non-Antigen
0.5899,Probable Antigen
0.6195,Probable Antigen
0.2293,Probable Non-Antigen
0.1522,Probable Non-Antigen
0.5697,Probable Antigen
-0.0528,Probable Non-Antigen
0.266,Probable Non-Antigen
0.1381,Probable Non-Antigen
1.1031,Probable Antigen
0.3132,Probable Non-Antigen
-0.3255,Probable Non-Antigen
-0.0762,Probable Non-Antigen
0.8471,Probable Antigen
0.2345,Probable Non-Antigen
0.5752,Probable Antigen
