antigenicity_score,antigen_prediction
-0.4206,Probable Non-Antigen
-0.1784,Probable Non-Antigen
0.7476,Probable Antigen
0.6311,Probable Antigen
0.8912,Probable Antigen
0.3881,Probable Non-Antigen
0.4665,Probable Non-Antigen
1.4119,Probable Antigen
0.6671,Probable Antigen
0.4195,Probable Non-Antigen
0.032,Probable Non-Antigen
0.5736,Probable Antigen
0.4752,Probable Non-Antigen
-0.0239,Probable Non-Antigen
1.1874,Probable Antigen
0.3767,Probable Non-Antigen
0.8229,Probable Antigen
0.5933,Probable Antigen
0.5024,Probable Antigen
0.5004,Probable Antigen
0.8931,Probable Antigen
0.8455,Probable Antigen
-0.0552,Probable Non-Antigen
0.2402,Probable Non-Antigen
-0.2555,Probable Non-Antigen
0.0231,Probable Non-Antigen
0.5341,Probable Antigen
0.387,Probable Non-Antigen
-0.3326,Probable Non-Antigen
0.4128,Probable Non-Antigen
0.9573,Probable Antigen
0.1269,Probable Non-Antigen
0.6709,Probable Antigen
0.0181,Probable Non-Antigen
-0.2774,Probable Non-Antigen
-0.2244,Probable Non-Antigen
1.0275,Probable Antigen
0.8767,Probable Antigen
0.4765,Probable Non-Antigen
0.7223,Probable Antigen
-0.2332,Probable Non-Antigen
0.2828,Probable Non-Antigen
1.4741,Probable Antigen
0.3527,Probable Non-Antigen
0.2593,Probable Non-Antigen
-0.3654,Probable Non-Antigen
0.7009,Probable Antigen
1.0366,Probable Antigen
0.2951,Probable Non-Antigen
0.2685,Probable Non-Antigen
0.5709,Probable Antigen
0.1882,Probable Non-Antigen
0.5382,Probable Antigen
0.026,Probable Non-Antigen
0.2618,Probable Non-Antigen
0.6199,Probable Antigen
0.7566,Probable Antigen
0.4586,Probable Non-Antigen
0.2786,Probable Non-Antigen
0.7797,Probable Antigen
0.2357,Probable Non-Antigen
0.3197,Probable Non-Antigen
0.0674,Probable Non-Antigen
0.8158,Probable Antigen
0.2484,Probable Non-Antigen
0.6175,Probable Antigen
0.8668,Probable Antigen
0.4354,Probable Non-Antigen
0.167,Probable Non-Antigen
0.0665,Probable Non-Antigen
0.8233,Probable Antigen
1.0386,Probable Antigen
1.2812,Probable Antigen
0.1019,Probable Non-Antigen
0.5155,Probable Antigen
1.2417,Probable Antigen
0.3727,Probable Non-Antigen
1.321,Probable Antigen
-0.0193,Probable Non-Antigen
-0.2189,Probable Non-Antigen
0.8618,Probable Antigen
0.0814,Probable Non-Antigen
0.3082,Probable Non-Antigen
0.6835,Probable Antigen
0.1062,Probable Non-Antigen
0.0203,Probable Non-Antigen
-0.0944,Probable Non-Antigen
-0.1597,Probable Non-Antigen
0.3238,Probable Non-Antigen
0.4221,Probable Non-Antigen
0.2263,Probable Non-Antigen
0.43,Probable Non-Antigen
1.4926,Probable Antigen
